"Date","Price","Open","High","Low","Change %"
"Nov 17, 2015","2.8691","2.8819","2.8902","2.8570","-0.50%"
"Nov 16, 2015","2.8834","2.8639","2.8882","2.8623","0.69%"
"Nov 13, 2015","2.8637","2.8636","2.8786","2.8540","-0.05%"
"Nov 12, 2015","2.8651","2.8733","2.8920","2.8555","-0.34%"
"Nov 11, 2015","2.8748","2.9138","2.9158","2.8704","-1.41%"
"Nov 10, 2015","2.9158","2.9195","2.9263","2.8995","-0.17%"
"Nov 09, 2015","2.9207","2.9125","2.9289","2.9100","0.19%"
"Nov 06, 2015","2.9152","2.8597","2.9327","2.8558","1.91%"
"Nov 05, 2015","2.8607","2.8616","2.8779","2.8530","-0.08%"
"Nov 04, 2015","2.8631","2.8268","2.8700","2.8210","1.21%"
"Nov 03, 2015","2.8290","2.8228","2.8515","2.8070","0.18%"
"Nov 02, 2015","2.8239","2.9144","2.9156","2.7540","-3.13%"
"Oct 30, 2015","2.9151","2.9370","2.9422","2.9060","-0.76%"
"Oct 29, 2015","2.9375","2.9232","2.9435","2.9141","0.44%"
"Oct 28, 2015","2.9247","2.9026","2.9336","2.8841","0.71%"
"Oct 27, 2015","2.9041","2.8894","2.9180","2.8843","0.49%"
"Oct 26, 2015","2.8900","2.9053","2.9207","2.8790","-0.61%"
"Oct 23, 2015","2.9078","2.8708","2.9165","2.8550","1.23%"
"Oct 22, 2015","2.8726","2.8939","2.9026","2.8610","-0.79%"
"Oct 21, 2015","2.8954","2.8995","2.9155","2.8892","-0.17%"
"Oct 20, 2015","2.9003","2.9043","2.9101","2.8820","-0.18%"
"Oct 19, 2015","2.9054","2.8928","2.9075","2.8760","0.47%"
"Oct 16, 2015","2.8917","2.8794","2.9090","2.8753","0.40%"
"Oct 15, 2015","2.8803","2.9128","2.9148","2.8740","-1.15%"
"Oct 14, 2015","2.9137","2.9571","2.9640","2.9090","-1.52%"
"Oct 13, 2015","2.9586","2.9249","2.9620","2.9220","1.10%"
"Oct 12, 2015","2.9264","2.9157","2.9591","2.9110","0.50%"
"Oct 09, 2015","2.9118","2.8920","2.9212","2.8860","0.63%"
"Oct 08, 2015","2.8935","2.9390","2.9500","2.8895","-1.59%"
"Oct 07, 2015","2.9402","2.9572","2.9630","2.9120","-0.61%"
"Oct 06, 2015","2.9583","2.9807","2.9995","2.9531","-0.85%"
"Oct 05, 2015","2.9837","2.9936","3.0031","2.9798","-0.23%"
"Oct 02, 2015","2.9906","3.0256","3.0373","2.9840","-1.19%"
"Oct 01, 2015","3.0267","3.0244","3.0330","3.0060","0.03%"
"Sep 30, 2015","3.0257","3.0359","3.0443","3.0145","-0.37%"
"Sep 29, 2015","3.0368","3.0547","3.0705","3.0295","-0.69%"
"Sep 28, 2015","3.0579","3.0461","3.0625","3.0260","0.37%"
"Sep 25, 2015","3.0467","3.0367","3.0577","3.0216","0.21%"
"Sep 24, 2015","3.0403","3.0376","3.0754","3.0261","0.06%"
"Sep 23, 2015","3.0385","3.0239","3.0485","3.0101","0.41%"
"Sep 22, 2015","3.0260","3.0055","3.0410","2.9860","0.66%"
"Sep 21, 2015","3.0062","3.0069","3.0281","2.9790","0.04%"
"Sep 18, 2015","3.0051","3.0115","3.0152","2.9747","-0.24%"
"Sep 17, 2015","3.0124","2.9973","3.0295","2.9732","0.47%"
"Sep 16, 2015","2.9984","3.0285","3.0325","2.9885","-1.04%"
"Sep 15, 2015","3.0300","3.0578","3.0720","3.0190","-0.91%"
"Sep 14, 2015","3.0578","3.0345","3.0720","3.0345","0.37%"
"Sep 11, 2015","3.0465","3.0215","3.0610","3.0149","0.78%"
"Sep 10, 2015","3.0228","3.0353","3.0631","3.0130","-0.43%"
"Sep 09, 2015","3.0360","3.0096","3.0441","2.9840","0.83%"
"Sep 08, 2015","3.0111","3.0305","3.0350","2.9997","-0.63%"
"Sep 07, 2015","3.0301","2.9977","3.0464","2.9977","0.75%"
"Sep 04, 2015","3.0074","2.9698","3.0141","2.9660","1.24%"
"Sep 03, 2015","2.9707","2.9403","2.9785","2.9360","1.00%"
"Sep 02, 2015","2.9414","2.9294","2.9590","2.9213","0.38%"
"Sep 01, 2015","2.9302","2.9134","2.9329","2.9040","0.53%"
"Aug 31, 2015","2.9148","2.9229","2.9329","2.9050","-0.31%"
"Aug 28, 2015","2.9238","2.9084","2.9318","2.9040","0.48%"
"Aug 27, 2015","2.9099","2.9307","2.9348","2.8940","-0.75%"
"Aug 26, 2015","2.9318","2.9387","2.9511","2.9140","-0.29%"
"Aug 25, 2015","2.9402","2.9406","2.9509","2.9080","-0.06%"
"Aug 24, 2015","2.9421","2.9190","2.9865","2.9149","0.80%"
"Aug 21, 2015","2.9187","2.9145","2.9365","2.9010","0.09%"
"Aug 20, 2015","2.9160","2.9246","2.9999","2.8860","-0.32%"
"Aug 19, 2015","2.9255","2.8931","2.9450","2.8820","1.07%"
"Aug 18, 2015","2.8946","2.8672","2.9093","2.8620","0.92%"
"Aug 17, 2015","2.8683","2.8355","2.8734","2.8232","1.21%"
"Aug 14, 2015","2.8340","2.8196","2.8475","2.8156","0.50%"
"Aug 13, 2015","2.8200","2.7761","2.8300","2.7680","1.53%"
"Aug 12, 2015","2.7776","2.7787","2.7880","2.7647","-0.08%"
"Aug 11, 2015","2.7797","2.7782","2.7905","2.7570","0.01%"
"Aug 10, 2015","2.7794","2.7802","2.7970","2.7730","-0.03%"
"Aug 07, 2015","2.7802","2.7752","2.7940","2.7710","0.16%"
"Aug 06, 2015","2.7757","2.7856","2.7920","2.7730","-0.40%"
"Aug 05, 2015","2.7868","2.7822","2.7940","2.7640","0.15%"
"Aug 04, 2015","2.7826","2.7801","2.7842","2.7630","0.05%"
"Aug 03, 2015","2.7812","2.7662","2.7844","2.7619","0.37%"
"Jul 31, 2015","2.7710","2.7818","2.7981","2.7510","-0.42%"
"Jul 30, 2015","2.7826","2.7645","2.7932","2.7580","0.64%"
"Jul 29, 2015","2.7650","2.7584","2.7760","2.7521","0.18%"
"Jul 28, 2015","2.7600","2.7704","2.7740","2.7410","-0.41%"
